x,V_num,V_ana,rel_err
-1.000000000000,0.079577471546,0.079577471546,0.000000000000
-0.968750000000,0.082148956524,0.082144486757,0.000054413471
-0.937500000000,0.084891438355,0.084882636316,0.000103696581
-0.906250000000,0.087822739228,0.087809623775,0.000149362369
-0.875000000000,0.090963207570,0.090945681767,0.000192706267
-0.843750000000,0.094336192193,0.094314040351,0.000234873214
-0.812500000000,0.097968624794,0.097941503441,0.000276913785
-0.781250000000,0.101891741575,0.101859163579,0.000319833725
-0.750000000000,0.106141984966,0.106103295395,0.000364640617
-0.718750000000,0.110762140665,0.110716482151,0.000412391302
-0.687500000000,0.115802785311,0.115749049521,0.000464243892
-0.656250000000,0.121324148888,0.121260909022,0.000521518977
-0.625000000000,0.127398537801,0.127323954474,0.000585776083
-0.593750000000,0.134113526301,0.134025215235,0.000658913812
-0.562500000000,0.141576216842,0.141471060526,0.000743306197
-0.531250000000,0.149919012388,0.149792887616,0.000841994398
-0.500000000000,0.159307566971,0.159154943092,0.000958964117
-0.468750000000,0.169951939475,0.169765272631,0.001099558473
-0.437500000000,0.182122567576,0.181891363534,0.001271110613
-0.406250000000,0.196173686338,0.195883006882,0.001483944221
-0.375000000000,0.212578591918,0.212206590789,0.001753014018
-0.343750000000,0.231984409846,0.231498099043,0.002100711864
-0.312500000000,0.255300296184,0.254647908947,0.002561918690
-0.281250000000,0.283845752042,0.282942121052,0.003193695539
-0.250000000000,0.319613496001,0.318309886184,0.004095411026
-0.218750000000,0.365767084201,0.363782727067,0.005454786571
-0.187500000000,0.427666342862,0.424413181578,0.007665080693
-0.156250000000,0.515230423308,0.509295817894,0.011652570482
-0.125000000000,0.649239770280,0.636619772368,0.019823446365
-0.093750000000,0.881440186525,0.848826363157,0.038422255462
0.093750000000,0.881440210935,0.848826363157,0.038422284220
0.125000000000,0.649239802562,0.636619772368,0.019823497073
0.156250000000,0.515230463234,0.509295817894,0.011652648877
0.187500000000,0.427666390151,0.424413181578,0.007665192115
0.218750000000,0.365767138517,0.363782727067,0.005454935877
0.250000000000,0.319613556953,0.318309886184,0.004095602512
0.281250000000,0.283845819189,0.282942121052,0.003193932856
0.312500000000,0.255300369035,0.254647908947,0.002562204772
0.343750000000,0.231984487858,0.231498099043,0.002101048853
0.375000000000,0.212578674504,0.212206590789,0.001753403196
0.406250000000,0.196173772865,0.195883006882,0.001484385947
0.437500000000,0.182122657367,0.181891363534,0.001271604261
0.468750000000,0.169952031812,0.169765272631,0.001100102381
0.500000000000,0.159307661098,0.159154943092,0.000959555535
0.531250000000,0.149919107514,0.149792887616,0.000842629447
0.562500000000,0.141576312142,0.141471060526,0.000743979830
0.593750000000,0.134113620919,0.134025215235,0.000659619784
0.625000000000,0.127398630855,0.127323954474,0.000586506927
0.656250000000,0.121324239471,0.121260909022,0.000522265986
0.687500000000,0.115802872494,0.115749049521,0.000464997105
0.718750000000,0.110762223504,0.110716482151,0.000413139510
0.750000000000,0.106142062500,0.106103295395,0.000365371357
0.781250000000,0.101891812832,0.101859163579,0.000320533297
0.812500000000,0.097968688797,0.097941503441,0.000277567273
0.843750000000,0.094336247960,0.094314040351,0.000235464509
0.875000000000,0.090963254119,0.090945681767,0.000193218109
0.906250000000,0.087822775583,0.087809623775,0.000149776382
0.937500000000,0.084891463544,0.084882636316,0.000103993333
0.968750000000,0.082148969590,0.082144486757,0.000054572530
1.000000000000,0.079577471546,0.079577471546,0.000000000000
